,Coef.,Std.Err.,z,P>|z|,[0.025,0.975],OR,significativa_0_05
Intercept,0.9438271724607847,0.6740175668708183,1.4003005542460558,0.16142333495057826,-0.3772229835533365,2.264877328474906,2.5697976809969294,False
C(TraPersona)[T.Empresarial],-0.10532651524436223,0.46231926645633703,-0.2278220331410515,0.8197845971035926,-1.0114556268577595,0.8008025963690351,0.9000306008923362,False
C(TraPersona)[T.Social],-0.011514147087635365,0.2050919333801281,-0.056141394241451925,0.9552291680841958,-0.41348695003237457,0.3904586558571038,0.9885518870188104,False
log_tiempo,-0.024066650881412164,0.03270162883322162,-0.7359465488447727,0.461763227327889,-0.08816066563032313,0.040027363867498805,0.9762206416232923,False
CONTEO_NETO,0.2831301779707091,0.06278282002718194,4.5096760204165305,6.492670401912267e-06,0.1600781118695725,0.4061822440718457,1.3272779329192919,True
N_FORMATOS_FINAL,-0.12853149600955213,0.10543010150564044,-1.219115738048263,0.22280026733588199,-0.33517069784700954,0.07810770582790527,0.8793858648366376,False
digitalizacion_num,0.2580340576396121,0.09269845026035971,2.7835854527759487,0.005376169848976539,0.0763484337066295,0.4397196815725948,1.2943829014999335,True
Porcentaje_Efectividad,0.0005795081813093314,0.0022679113996546723,0.255525053314504,0.798317595949439,-0.0038655164821416507,0.005024532844760314,1.000579676128616,False
log_visitas_totales,-0.10062384166361861,0.08722088442895713,-1.15366683475422,0.24863678593771177,-0.271573633844105,0.07032595051686776,0.9042731187907787,False
log_visitas_ruts,-0.027649144792869805,0.06596730518307475,-0.4191340652181704,0.675118155970486,-0.15694268710885875,0.10164439752311913,0.9727295941802929,False
