,coef,p_value,ci_2.5,ci_97.5,model,r_squared
Intercept,6.672540268330415,8.087403701971043e-194,6.232179769407563,7.112900767253268,OLS_HC3_log_tiempo,0.0038891744273947815
CONTEO_NETO,-0.013759045346059928,0.7843858452500622,-0.11232059394337662,0.08480250325125677,OLS_HC3_log_tiempo,0.0038891744273947815
N_FORMATOS_FINAL,0.0411441728507485,0.7706226879071367,-0.23544027445387888,0.3177286201553759,OLS_HC3_log_tiempo,0.0038891744273947815
digitalizacion_num,0.1681720001496099,0.11808184518069913,-0.04272837616834399,0.37907237646756375,OLS_HC3_log_tiempo,0.0038891744273947815
