k,inertia,silhouette
2,8977.445225212086,0.2115388693710928
3,8195.168289406432,0.24229692914234774
4,7389.707383119415,0.3238311161699551
5,6683.460892569623,0.3462449975875195
6,6022.824050556159,0.3611326607882057
7,5281.115589418189,0.4322158480297344
8,4600.593087534238,0.45022824879304435
