Idtram,Tramite,cluster,log_tiempo,CONTEO_NETO,N_FORMATOS_FINAL,nivel_cat
1489.0,Autorización de cambio de titular del Centro de Verificación Vehicular,6,7.273092595999522,0,2,Sin_nivel
1496.0,Permiso de Publicidad Modalidad A Productos y Servicios,0,9.980494888896912,4,1,Nivel 1
1500.0,Solicitud de Visita de Verificación de materia prima y medicamentos que sean o contengan estupefacientes o psicotrópicos Modalidad A. Balance,0,10.673618922112436,1,0,Nivel 1
1502.0,"Reportes, Quejas y Sugerencias del Servicio Tuzobús",3,9.980494888896912,2,1,Nivel 2
1506.0,Expedición de Tarjetón para Personas Conductoras del Tuzobús,0,7.273092595999522,13,2,Nivel 1
1507.0,Renovación del Tarjetón para Personas Conductoras del Tuzobús,0,7.273092595999522,9,1,Nivel 1
1509.0,Centro de Expresión Juvenil,6,9.351926736038054,0,0,Sin_nivel
1521.0,Inscripción 1er Semestre Bachillerato del Estado de Hidalgo,0,3.4339872044851463,5,0,Nivel 1
1528.0,Readmision UPH,3,3.4339872044851463,1,1,Nivel 2
1530.0,Examen de Recuperación UPH,6,3.4339872044851463,1,0,Sin_nivel
1532.0,Bitácora de Operación de Equipos y Procesos Generadores de Emisiones a la Atmósfera,6,10.673618922112436,2,0,Sin_nivel
1536.0,Autorización en materia de impacto ambiental del transporte de residuos de manejo especial generados en procesos industriales y de servicios.,3,11.366754528799241,7,1,Nivel 2
1540.0,Inscripción de registro de perito valuador (Catastral),0,12.059895922372384,2,2,Nivel 1
1546.0,Puntos Topográficos con referencia de localización.,6,8.371242135931933,2,1,Sin_nivel
1550.0,Restitución fotogramétrica escala 1:1000.,6,8.371242135931933,0,1,Sin_nivel
1555.0,"Constancias de calificaciones, reportes de evaluación y certificación de educación básica",7,8.658866349732383,3,1,Nivel 4.1
1557.0,Autorización para impartir educación inicial y/o básica en el estado,3,9.837401167408268,2,3,Nivel 2
1558.0,Registro de Institución en el Catálogo de Centros de Trabajo de SEPH,3,3.044522437723423,2,1,Nivel 2
1559.0,Becas de Educación Básica para escuelas públicas y particulares,7,9.980494888896912,2,1,Nivel 4.1
1560.0,Preinscripciones de Educación Básica,7,10.768926997586153,1,0,Nivel 4.1
1572.0,Constitución de Grupos de Productores/as de Leche.,3,9.575052927597383,5,1,Nivel 2
1573.0,Capacitación en Nutrición y Manejo de Ganado Lechero.,3,7.273092595999522,1,1,Nivel 2
1574.0,Capacitación en Inseminación Artificial en Bovinos leche.,3,7.273092595999522,1,1,Nivel 2
1584.0,Reinscripción UPE,0,3.4339872044851463,1,1,Nivel 1
1589.0,Historial académico UPE,0,8.371242135931933,1,0,Nivel 1
1595.0,Autorización de Bitácora de Control para Residuos de Manejo Especial,6,11.366754528799241,2,1,Sin_nivel
1599.0,Actualización al Padrón de Contratistas (Persona Física),6,7.273092595999522,0,0,Sin_nivel
1613.0,Elaboración de Contrato,6,3.4339872044851463,3,1,Sin_nivel
1614.0,Constancia de No Afectación,0,3.4339872044851463,6,0,Nivel 1
1621.0,Constancia No Comprendida,0,3.044522437723423,1,1,Nivel 1
1622.0,Constancia de No Invasión a Fraccionamiento,0,3.044522437723423,1,1,Nivel 1
1623.0,Constancia de Verificación de la Poligonal de Fraccionamiento,0,3.044522437723423,1,1,Nivel 1
1635.0,Examen de admisión UTMIR,3,3.258096538021482,0,0,Nivel 2
1654.0,Inscripción Nivel Licenciatura Bilingüe UPMH,5,10.363472411086743,5,2,Nivel 3.7
1656.0,Nube de puntos derivado de vuelo con Dron,6,8.371242135931933,3,1,Sin_nivel
1684.0,Otorgamiento o Renovación de Concesiones para el Servicio de Transporte Público,6,7.273092595999522,10,1,Sin_nivel
1694.0,Pago de arrendamiento,6,9.575052927597383,0,1,Sin_nivel
1705.0,Inscripción ITESHU.,0,3.044522437723423,6,0,Nivel 1
1706.0,Declaración de Impuestos Estatales,6,7.273092595999522,2,2,Sin_nivel
1707.0,Declaración de ISR Enajenación de Bienes Inmuebles Impuestos Federales Coordinados,6,4.795790545596741,6,2,Sin_nivel
1708.0,Devolución por Concepto de Pago de lo Indebido Estatal,6,9.575052927597383,2,1,Sin_nivel
1715.0,Pago de Créditos Fiscales Estatales,6,3.044522437723423,1,2,Sin_nivel
1717.0,Pago de Créditos Fiscales Federales Coordinados,6,3.044522437723423,1,2,Sin_nivel
1718.0,Compensación por concepto de pago de lo indebido estatal,6,11.366754528799241,0,1,Sin_nivel
1721.0,Declaración de ISAN,6,4.110873864173311,2,2,Sin_nivel
1730.0,Movimientos y Actualización al Padrón Estatal de Contribuyentes,1,3.044522437723423,5,1,Nivel 3.1
1735.0,Alta de vehículo particular,6,3.044522437723423,8,2,Sin_nivel
1736.0,Baja de vehículo particular,6,3.044522437723423,2,1,Sin_nivel
1738.0,Expedición de Placas de Demostración para Vehículos de Agencia,5,3.044522437723423,1,2,Nivel 3.7
1742.0,Baja de vehículo de transporte público.,6,3.044522437723423,3,1,Sin_nivel
1746.0,Reposición de Tarjeta de Circulación por Pérdida o Actualización Datos,6,7.273092595999522,3,1,Sin_nivel
1747.0,Inscripción al Registro Estatal de Contribuyentes,1,7.273092595999522,1,1,Nivel 3.1
1780.0,Laboratorio de Constatación de Leche.,3,7.273092595999522,1,0,Nivel 2
4806.0,Equivalencia de Estudios UPMH,5,10.706407998237976,4,1,Nivel 3.7
4904.0,Reinscripción UPMH,5,7.9658927350845286,3,0,Nivel 3.7
5041.0,Inscripción De las Demás Zonas por división (Registro Público de la Propiedad y del Comercio),6,7.273092595999522,5,1,Sin_nivel
5055.0,"Certificaciones. (Registro Público de la Propiedad y del Comercio, Registro de Crédito Agrícola)",6,7.273092595999522,1,1,Sin_nivel
5056.0,Cancelación de Inscripción. (Registro Público de la Propiedad y del Comercio),6,7.273092595999522,2,1,Sin_nivel
5206.0,Servicios de Psicología para Mujeres Jóvenes.,6,4.110873864173311,0,1,Sin_nivel
5207.0,Orientación Vocacional para Mujeres Jóvenes.,6,7.273092595999522,0,1,Sin_nivel
5516.0,Expedición de Permiso de circulación.,6,2.3978952727983707,3,1,Sin_nivel
5517.0,Baja Administrativa de Vehículos,6,2.3978952727983707,1,1,Sin_nivel
5518.0,Alta de vehículo de transporte público,6,3.4339872044851463,6,3,Sin_nivel
5575.0,Ampliación de Periodo de Verificación Vehícular Extemporánea,0,7.273092595999522,3,0,Nivel 1
5805.0,Licitaciones Públicas,6,0.0,0,0,Sin_nivel
5911.0,Visita Guiada al Parque Ecológico Cubitos,0,7.273092595999522,0,0,Nivel 1
6110.0,Titulación (ITSOEH),6,10.798779341814225,1,0,Sin_nivel
6112.0,Constancia de Residencia Profesional (ITSOEH),6,9.980494888896912,0,0,Sin_nivel
6251.0,Atención Jurídica en Materia Familiar y Penal a Mujeres en Situación de Violencia de Género.,6,4.795790545596741,0,3,Sin_nivel
6256.0,Atención de Trabajo Social a Mujeres en Situación de Violencia de Género,6,3.828641396489095,0,6,Sin_nivel
6609.0,Inscripción UPFIM,2,7.273092595999522,3,0,Nivel 3.9
6613.0,Reinscripción UPFIM,2,7.273092595999522,1,0,Nivel 3.9
6668.0,Compulsa de documentos,6,7.273092595999522,0,0,Sin_nivel
6730.0,Donación de Planta Forestal para Reforestación,6,8.881975184248867,0,0,Sin_nivel
